# 시각 | 학교 | 학년 | 나이 | 이름 | 기록 | 구분
2026-09-18T08:46:56.799Z | 한라초 | 5 | 12 | 가나다 | 3분 50.12초 | 사람
2026-09-18T09:26:41.812Z | ㄻㄴㅇㄹ | 1 | 32 | ㅇ | 2분 3.54초 | 사람
2026-09-18T09:27:58.418Z |  |  |  | 카구라 | 12초 | AI
2026-09-18T09:29:38.248Z |  |  |  | 내일색 월드엔드 | 20.65초 | AI
2026-09-18T09:29:38.248Z |  |  |  | 세회색 유니버스 | 2분 3.42초 | AI
2026-09-19T01:26:31.123Z |  |  |  | 에이이 | 23.12초 | AI
2026-09-19T01:26:31.123Z | 노형초등학교 | 3 | 10 | 니라우 | 1분 18초 | 사람
2026-09-19T01:26:31.123Z | 한라초등학교 | 6 | 13 | 하라니 | 1분 44초 | 사람
2026-09-19T01:26:31.123Z | 한라중학교 | 2 | 15 | 가라리 | 2분 3.542초 | 사람
2026-09-20T02:42:02.358Z | 제주제일고등학교 | 1 | 17 | 이발소 | 1분 4초 | 사람
2026-09-20T02:52:28.302Z |  |  |  | 에이아이투 | 1분 7.123초 | AI
